Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D4.7mm_W2.5mm_P5.00mm,2,22p,
C3,CP_Radial_D5.0mm_P2.00mm,1,4.7uF,
"C4, C6, C7, C8",C_Disc_D4.7mm_W2.5mm_P5.00mm,4,0.1u,
C5,CP_Radial_D8.0mm_P5.00mm,1,100uF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1S1588,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D3, D4, D5, D6, D7, D8, D9",LED_D5.0mm,16,LED,
D2,0805,1,LED,
F1,1812,1,PTC 0.5A,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J10,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J11,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
"J12, J3, J5",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
"J2, J6",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J7,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
J8,PinHeader_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
J9,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7k,
"R2, R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,3.3k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
"RN1, RN4",R_Array_SIP7,2,10k_R_Network06,
"RN2, RN6",R_Array_SIP9,2,47k_R_Network08,
"RN3, RN5",R_Array_SIP9,2,2.2k_R_Network08,
SW1,SW_PUSH_6mm,1,SW_Push,
SW2,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,2MS1-T2-B4-VS2-Q-E-S,
SW3,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,1,SW_DIP_x08,
"TP1, TP2",PinHeader_1x01_P2.54mm_Vertical,2,TestPoint,
U1,DIP-40_W15.24mm,1,8085,
U2,SOT-23-5_HandSoldering,1,74AHC1G04,
U3,DIP-40_W15.24mm,1,8155,
U4,DIP_Socket-40_W11.9mm_W12.7mm_W15.24mm_W17.78mm_W18.5mm_3M_240-1280-00-0602J,1,8755,
Y1,Crystal_HC49-U_Vertical,1,2-3MHz,
